row_id,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
1,Chengqi,Piera,M,567,1000000,BROWNSVILLE,OH,43721,M,N,11500,0.9277667,0,2600,0
2,Chengqi,Piera,M,567,1010873,GLADYS,OH,22903,M,N,11500,0.9277667,2100,2600,1500
3,Chengqi,Arrabito,M,208,1000000,BROWNSVILLE,OH,77242,M,Y,11500,0.9277667,0,2600,0
4,Chengqi,Piera,M,567,1014965,BROWNSVILLE,UT,43721,M,N,11500,4.893182,87,174,0
5,Chengqi,Piera,M,567,1000000,SWAN RIVER,OH,43721,M,Y,100000,0.9277667,0,2600,0
6,Chengqi,Piera,M,567,1000000,BROWNSVILLE,OH,43721,M,Y,36000,0.91116923,0,3800,3300
7,Chengqi,Schaft,M,769,1000000,NEWELLTON,NH,15217,M,N,11500,0.9277667,0,2600,0
8,Chengqi,Grapa,M,567,1000000,CHAMPLIN,OH,43721,M,N,11500,0.9277667,3575,40,0
9,Chengqi,Piera,M,360,1000000,BROWNSVILLE,AK,43721,M,N,52500,0.9277667,2100,2600,0
10,Chengqi,Piera,F,567,1004222,SHELL KNOB,OH,43721,M,Y,11500,0.9277667,0,2600,0
11,Yasmina,Marsala,M,704,1000000,MARSLAND,NE,20682,M,N,12500,6.84,1300,206,3300
12,Yasmina,Marsala,M,419,1016237,MARSLAND,NE,69354,S,N,36500,6.84,0,9000,0
13,Yasmina,Zfira,M,402,1007470,MARSLAND,TN,69354,M,N,36500,6.84,0,206,0
14,Yasmina,Marsala,F,402,1000000,MOORES HILL,GA,69354,S,N,53000,6.84,0,206,0
15,Yasmina,Goodenough,M,402,1000000,MONITOR,NE,69354,M,N,88500,6.84,2100,206,3100
16,Yasmina,Marsala,M,567,1009265,MARSLAND,IN,69354,M,N,36500,6.84,0,12000,0
17,Yasmina,Hutter,M,865,1000000,MARSLAND,NE,71227,M,N,36500,6.84,0,206,0
18,Yasmina,Marsala,M,402,1011588,SOPERTON,NE,85296,M,N,36500,4.092683,0,206,0
19,Yasmina,Marsala,M,402,1000000,HORSE CAVE,NC,45334,M,N,36500,6.84,0,206,2400
20,Yasmina,Marsala,M,402,1000000,MARSLAND,NE,69354,M,N,36500,6.84,0,206,0
21,Jesas,Howerton,F,863,1000000,CANDLER,FL,49912,S,N,38500,0,900,0,0
22,Jesas,Verykios,F,863,1000000,PINE MOUNTAIN,FL,68726,S,N,38500,0,700,0,1000
23,Jesas,Verykios,M,251,1000000,ROCKHAM,FL,45322,S,Y,83000,0,0,0,0
24,Jesas,Verykios,F,863,1002525,CANDLER,TN,32111,S,Y,35000,7.5375004,0,0,2400
25,Jesas,Vieille,M,304,1000000,CANDLER,FL,32111,M,N,38500,0,0,0,0
26,Jesas,Malhis,F,863,1000000,SEWARD,FL,32111,S,Y,34500,5.836415,3100,0,0
27,Jesas,Jockusch,F,863,1000000,CANDLER,KY,53070,S,Y,38500,0,0,0,0
28,Jesas,Verykios,M,862,1000000,CARBON HILL,FL,32111,S,Y,38500,2.9375,0,7150,0
29,Jesas,Verykios,F,863,1000000,CANDLER,FL,32111,S,Y,38500,0,0,0,0
30,Jesas,Verykios,F,361,1019596,CANDLER,FL,32111,M,Y,62000,0,0,5400,0
31,Hiroyuji,Rahmat,M,912,1000000,HILLSDALE,AL,47854,S,Y,26000,3.4,1000,4500,1000
32,Hiroyuji,Rahmat,M,765,1000000,HILLSDALE,IN,47854,S,Y,19000,3.4,1000,0,1000
33,Hiroyuji,Rahmat,M,765,1000000,HILLSDALE,SC,47854,S,Y,19000,3.1257498,1000,206,1200
34,Hiroyuji,Rahmat,M,765,1008015,BRUNO,NJ,2804,S,Y,19000,6.9503202,1000,0,1000
35,Hiroyuji,Rahmat,M,765,1000000,HILLSDALE,IN,47854,M,N,19000,3.4,3575,1800,2475
